Suggested Bundle Title,FullPrice,DiscountRate,FinalPrice,BundleType,OfferLabel
2x Bvlgari Omnia Amethyste Eau de Toilette Bvlgari Omnia Amethyste Eau de Toilette 100 ml – Offer Pack,157.45085714285716,0.05,149.58,Volume,-5%
2x Bvlgari Omnia Amethyste Eau de Toilette 100ml – Offer Pack,157.45085714285716,0.05,149.58,Volume,-5%
Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44,176.0,0.15,149.6,Thematic,-15%
3x Davidoff Cool Water Woman Eau de Toilette Davidoff Cool Water Woman Eau de Toilette 100 ml – Offer Pack,166.32,0.1,149.69,Volume,-10%
3x Profuomo ανδρική πικέ μπλούζα πόλο Normal Fit Μπλε Ανοιχτό L – Offer Pack,167.91,0.1,151.12,Volume,-10%
Uv Protective Compact Foundation (SPF30) Medium Ochre + Bio-Performance Advanced Super Revitalizing Cream Shiseido Bio-Performance Advanced Super Revitalizing Cream 50 ml,189.7302272727273,0.2,151.78,Rule-Based,-20%
"Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44",179.0,0.15,152.15,Thematic,-15%
Guerlain Aqua Allegoria Florabloom Forte  Eau de Parfum 75ml + Guerlain Abeille Royale Advanced Youth Watery Oil 30ml,190.8716290726817,0.2,152.7,Rule-Based,-20%
3x Moschino Toy 2 Pearl Eau de Parfum 50ml – Offer Pack,169.89000000000001,0.1,152.9,Volume,-10%
3x Dior Hypnotic Poison Eau De Toilette Dior Hypnotic Poison Eau De Toilette 30 ml – Offer Pack,170.9435294117647,0.1,153.85,Volume,-10%
3x Adolfo Domínguez ανδρική πόλο μπλούζα βαμβακερή μονόχρωμη με κεντημένο μονόγραμμα Λευκό XL – Offer Pack,171.0,0.1,153.9,Volume,-10%
2x Bvlgari Omnia Crystalline Eau de Toilette 100ml – Offer Pack,163.15764705882356,0.05,155.0,Volume,-5%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39 + Guess γυναικεία sneakers μονόχρωμα με ανάγλυφο λογότυπο ""Brecky 4"" Λευκό 40",184.0,0.15,156.4,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37 + Guess γυναικεία sneakers μονόχρωμα με ανάγλυφο λογότυπο ""Brecky 4"" Λευκό 40",184.0,0.15,156.4,Thematic,-15%
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez For Her Musc Noir Rose Eau de Parfum Vapo 50ml,198.76067873303168,0.2,159.01,Rule-Based,-20%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + Guess γυναικεία sneakers μονόχρωμα με ανάγλυφο λογότυπο ""Brecky 4"" Λευκό 40",188.0,0.15,159.8,Thematic,-15%
"Ugg σετ καθαρισμού παπουτσιών ""Care Kit"" Λευκό ONE SIZE + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",199.90833333333333,0.2,159.93,Rule-Based,-20%
