Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Lancôme Hypnôse Drama - Extreme Volume Mascara 8 ml Excessive Black + Lancôme Miel en Mousse 200 ml,900278504279,979278502532,52.51,0,0,0.0
Kiko Milano Standout Volume Buildable Mascara 11.5 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896000575,9-4896003805,7.95,0,0,0.0
Kiko Milano Standout Volume Buildable Mascara 11.5 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000575,9-4896003454,15.84,0,0,0.0
"Lauren Ralph Lauren γυναικεία τσάντα χειρός μονόχρωμη με contrast λεπτομέρειες ""Large Marcy Satchel"" Μαύρο ONE SIZE + Lauren Ralph Lauren γυναικεία τσάντα tote διπλής όψης με σταμπωτό διακριτικό λογότυπο Μαύρο ONE SIZE",9-4156001237|EE7960|OSZ,9-4156001158|EA2008|OSZ,445.72,0,0,0.0
"Lauren Ralph Lauren γυναικεία τσάντα χειρός μονόχρωμη με contrast λεπτομέρειες ""Large Marcy Satchel"" Μαύρο ONE SIZE + Lauren Ralph Lauren γυναικεία δερμάτινη τσάντα crossbody μονόχρωμη με ανάγλυφη λεπτομέρεια ""Cameryn Large"" Μαύρο ONE SIZE",9-4156001237|EE7960|OSZ,9-4156001182|EE1149|OSZ,474.52,0,0,0.0
"Lauren Ralph Lauren γυναικεία τσάντα χειρός μονόχρωμη με contrast λεπτομέρειες ""Large Marcy Satchel"" Μαύρο ONE SIZE + Lauren Ralph Lauren γυναικεία δερμάτινη τσάντα tote μονόχρωμη με σταμπωτό logo πίσω ""Karly Large"" Εκρού ONE SIZE",9-4156001237|EE7960|OSZ,9-4156001188|EA3322|OSZ,518.52,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 19 Cream Cashmere + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001480,9-4896004057,15.21,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 19 Cream Cashmere + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001480,9-4896003454,21.59,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 19 Cream Cashmere + Kiko Milano Pure Clean Toner 200 ml,9-4896001480,9-4896003805,13.7,0,0,0.0
Kiko Milano Smart Blush 06 Mauve + Kiko Milano Pure Clean Toner 200 ml,9-4896004191,9-4896003805,9.93,0,0,0.0
Kiko Milano Smart Blush 06 Mauve + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004191,9-4896003454,17.82,0,0,0.0
"Ugg γυναικεία suede μποτάκια με ενισχυμένη σόλα Καμηλό 38 + Ugg γυναικεία πέδιλα ""GoldenGlow"" Μαύρο 37",9-4637000115|EB2039|7,9-4637000126|EE5936|6,225.77,0,0,0.0
"Ugg γυναικεία suede μποτάκια με ενισχυμένη σόλα Καμηλό 38 + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",9-4637000115|EB2039|7,9-4637000120|EB2039|8,253.77,0,0,0.0
Yves Rocher Monoi De Tahiti Eau De Toilette 100 ml + Yves Rocher Frozen Lychee Bath & Shower Gel 400 ml,1057230,1082937,28.8,0,0,0.0
Yves Rocher Monoi De Tahiti Eau De Toilette 100 ml + Yves Rocher Sensual Shower Gel Tiaré Flower Ylang Ylang 400 ml ,1057230,1048780,30.58,0,0,0.0
"Ugg γυναικεία suede μποτάκια με ενισχυμένη σόλα Καμηλό 38 + Ugg γυναικεία πέδιλα ""GoldenGlow"" Μαύρο 40",9-4637000115|EB2039|7,9-4637000126|EE5936|9,225.77,0,0,0.0
"Lancôme Rénergie H.C.F. Triple Serum Eye 20 ml + Lancôme Hypnôse Volume-À-Porter Mascara 01 Noir Intense 6,5 gr.",900278504194,959278501958,73.17,0,0,0.0
Kiko Milano Smart Blush 06 Mauve + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004191,9-4896004057,11.44,0,0,0.0
Yves Rocher Monoi De Tahiti Eau De Toilette 100 ml + Yves Rocher Relaxing Bath and Shower Gel Cotton Flower Mimosa Yves Rocher Relaxing Bath and Shower Gel Cotton Flower Mimosa 400 ml ,1057230,1051046,29.74,0,0,0.0
Lancôme Rénergie H.C.F. Triple Serum Eye 20 ml + Lancôme Hypnôse Drama - Extreme Volume Mascara 8 ml Excessive Black,900278504194,900278504279,68.98,0,0,0.0
